1,1,1,1 or 2,1,1+,1,0+,1,0 or 1,0+,1,1 or 2,1,1,0+,0 or 1
DB,DB Object ID,DB Object Symbol,Qualifier,GO ID,DB:Reference,Evidence Code,With or From,Aspect,DB Object Name,DB Object Synonym,DB Object Type,Taxon,Date,Assigned By,Annotation_Extension,Gene_Product_Form_ID
UniProtKB,Q9H6I2,SOX17,enables,GO:0000976,GO_REF:0000024,ISS,UniProtKB:P40646,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20110606,UniProt,,
UniProtKB,Q9H6I2,SOX17,enables,GO:0000976,GO_REF:0000024,ISS,UniProtKB:Q61473,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20110606,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,enables,GO:0000981,GO_REF:0000024,ISS,UniProtKB:Q61473,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100317,BHF-UCL,occurs_at(SO:0000165),
UniProtKB,Q9H6I2,SOX17,enables,GO:0000981,GO_REF:0000113,ISA,tfclass:4.1.1,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20190405,NTNU_SB,,
UniProtKB,Q9H6I2,SOX17,enables,GO:0005515,PMID:17875931,IPI,UniProtKB:P35222,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220423,IntAct,,
UniProtKB,Q9H6I2,SOX17,enables,GO:0008013,PMID:17875931,IPI,UniProtKB:P35222,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20080915,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,enables,GO:0061629,PMID:17875931,IPI,UniProtKB:Q9NQB0,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20210910,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,enables,GO:0061629,PMID:19736317,IPI,UniProtKB:Q01860-1,F,Transcription factor SOX-17,SOX17,protein,taxon:9606,20210910,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0001525,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100317,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0001570,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100317,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0001656,PMID:20960469,IMP,,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20190614,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0001706,PMID:18682240,IDA,,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20091021,UniProt,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0001714,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20201028,BHF-UCL,part_of(GO:0003142)|part_of(GO:0003143)|part_of(GO:0048617)|part_of(GO:0061031),
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0001828,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0001947,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100317,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0001947,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20101215,UniProt,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0003142,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20110712,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0003143,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20110712,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0003151,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100317,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0003308,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0006355,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20101215,UniProt,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0006357,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20201028,BHF-UCL,"part_of(GO:0003142),part_of(GO:0001714)|part_of(GO:0003143),part_of(GO:0001714)|part_of(GO:0048617),part_of(GO:0001714)|part_of(GO:0061031),part_of(GO:0001714)",
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0007283,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0007493,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0010467,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0010628,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0016055,GO_REF:0000043,IEA,UniProtKB-KW:KW-0879,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,UniProt,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0021903,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0023019,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0030308,PMID:18413743,IMP,,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100323,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0031648,PMID:17875931,IMP,,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20080915,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0035050,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100317,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0042074,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0045732,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0045893,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100317,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0045944,PMID:22292085,IDA,,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20121119,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0045995,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20101215,UniProt,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0048617,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20110712,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0048866,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0050821,PMID:17875931,IMP,,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20080915,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0060214,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100317,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0060913,PMID:19736317,IMP,,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100727,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0060914,PMID:19736317,TAS,,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100324,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0060956,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100317,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0061009,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0061010,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0061031,GO_REF:0000024,ISS,UniProtKB:Q61473,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20110712,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0072091,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0072189,PMID:20960469,IMP,,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20190614,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0090090,PMID:18413743,IMP,,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100323,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:0090090,PMID:20960469,IMP,,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20110606,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:1903226,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:1990830,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:2000035,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:2000043,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,involved_in,GO:2000738,GO_REF:0000107,IEA,UniProtKB:Q61473|ensembl:ENSMUSP00000027035,P,Transcription factor SOX-17,SOX17,protein,taxon:9606,20220419,Ensembl,,
UniProtKB,Q9H6I2,SOX17,located_in,GO:0005634,PMID:17875931,IDA,,C,Transcription factor SOX-17,SOX17,protein,taxon:9606,20080915,BHF-UCL,,
UniProtKB,Q9H6I2,SOX17,located_in,GO:0005634,PMID:17875931,IDA,,C,Transcription factor SOX-17,SOX17,protein,taxon:9606,20110615,UniProt,,
UniProtKB,Q9H6I2,SOX17,located_in,GO:0005634,PMID:18682240,IDA,,C,Transcription factor SOX-17,SOX17,protein,taxon:9606,20091021,UniProt,,
UniProtKB,Q9H6I2,SOX17,located_in,GO:0005654,Reactome:R-HSA-5626938,TAS,,C,Transcription factor SOX-17,SOX17,protein,taxon:9606,20141008,Reactome,,
UniProtKB,Q9H6I2,SOX17,located_in,GO:0005654,Reactome:R-HSA-5665608,TAS,,C,Transcription factor SOX-17,SOX17,protein,taxon:9606,20141008,Reactome,,
UniProtKB,Q9H6I2,SOX17,located_in,GO:0000785,GO_REF:0000113,ISA,tfclass:4.1.1,C,Transcription factor SOX-17,SOX17,protein,taxon:9606,20190405,NTNU_SB,,
UniProtKB,Q9H6I2,SOX17,part_of,GO:0005667,PMID:19736317,IDA,,C,Transcription factor SOX-17,SOX17,protein,taxon:9606,20100324,BHF-UCL,,